item_name,brand,quantity,price
Wireless Bluetooth Headphones,Sony,150,79.99
4K Ultra HD Smart TV,Samsung,45,899.99
Stainless Steel Water Bottle,Hydro Flask,200,34.95
Organic Green Tea Bags,Twinings,500,12.49
Men's Running Shoes,Nike,120,129.99
Ergonomic Office Chair,Herman Miller,30,1295.00
USB-C Charging Cable,Anker,1000,9.99
Professional Chef Knife,Wusthof,75,189.00
Yoga Mat (6mm),Manduka,85,68.00
Electric Toothbrush,Philips Sonicare,110,49.99
Noise-Canceling Earbuds,Bose,60,279.99
Cast Iron Skillet 12-inch,Lodge,90,39.99
Organic Almond Butter (16oz),Justin's,140,11.99
MacBook Pro 14-inch M3,Apple,25,1999.00
French Press Coffee Maker,Bodum,70,29.95
Winter Down Jacket,The North Face,55,249.00
Smart Home Thermostat,Google Nest,80,129.99
Protein Powder (2lb),Optimum Nutrition,300,44.99
Mechanical Gaming Keyboard,Logitech,95,149.99
Vitamin D3 2000 IU (120 ct),Nature Made,250,15.99
